"Story","Title","Result","Date","Stability","Duration (s)"
"Google search","Google search","SUCCESS","2015-06-21T13:48:40.026+03:00","0.0","12.88"
"Google search","Google search multiple","SUCCESS","2015-06-21T13:48:56.958+03:00","0.0","19.03"
